"Horodateur","Quel est ton numéro étudiant ? (eXXXXXX, iXXXXXX ...)","1- Quel est ton langage de programmation préféré ?","2- Ton OS (système d'exploitation) :","3- Quelle terminologie te parle le plus ?","4- Parmi ces différentes technologies, avec lesquelles as-tu déjà expérimenté pendant ton temps libre ?","5- As-tu déjà démonté / monté un appareil électronique ?","6- Qu'est-ce que tu aimes le plus faire dans Minecraft ?","7- Quelles étaient tes deux spécialités au bac (ou celle qui y ressemble le plus) ?","8- Quelles associations de l'ENSIM as-tu rejoins ?","9- Quelle association de couleurs te paraît la plus harmonieuse ?","10- Quels sont les IDE (environnement de développement) que tu as déjà utilisé ?","11- Est-ce que tu es à l’aise pour travailler en contact avec les utilisateurs ?","12- Quelle était ta matière préférée au lycée ?","13- Ton environnement de travail plus tard :","14- Qu’est ce qui t’attire dans l’informatique? ","15- De quel pays viens-tu ?","16- Quelle est la plus grande priorité en informatique pour toi ?","17- Tu mettrais quoi dans ton sac à dos ?"
"2023/10/11 9:53:19 AM UTC+1","e2304411","C++","Linux;Windows","Robotique","Arduino;Intelligence Artficielle","PC","Je connais pas / J'y joue pas","Mathématiques;Physique-chimie","Aucune","Option 2","VSCode;Code::Blocks;La suite anaconda (Jupyter ...)","7","Physique-Chimie","Grande entreprise, grand groupe","La cyber-sécurité","Côte d'Ivoire","Le fonctionnel","Mon pc portable only"
"2023/10/11 10:26:27 AM UTC+1","e2302865","Python","Windows","Robotique","Aucune","Non","Construire des choses","Mathématiques;Humanités, littérature et philosophie","Aucune","Option 1","Code::Blocks;La suite anaconda (Jupyter ...)","4","Français","Grande entreprise, grand groupe","Créer du contenu","France","Le fonctionnel","Papier, crayon, trousse, la base"
"2023/10/11 12:48:21 PM UTC+1","e2302916","C++","Linux;Windows","UX/UI;Frontend / Backend;Robotique","Arduino;Intelligence Artficielle;Moteurs de jeux vidéo","PC;Téléphone","Construire des choses","Numérique et sciences informatiques;J'ai fait un BAC techno","Aucune","Option 1","VSCode;Vim;La suite JetBrains (IntelliJ, PyCharm ...);Code::Blocks;NetBeans","9","Physique-Chimie","PME / Startups","Créer du contenu","France","Le fonctionnel","Mon pc portable only"
"2023/10/11 3:55:09 PM UTC+1","e2302910","C","Windows","Domotique;Robotique","Aucune","Téléphone","Je connais pas / J'y joue pas","Mathématiques;Histoire géographie, géopolitique et sciences politiques","Aucune","Option 2","Code::Blocks","5","Mathématiques","Grande entreprise, grand groupe","Manager","France","La sécurité","Papier, crayon, trousse, la base"
"2023/10/13 12:34:21 PM UTC+1","S2104315","Python","Windows","UX/UI","Moteurs de jeux vidéo","PC","Construire des choses","Mathématiques;Physique-chimie","ENSIMERSION","Option 2","Code::Blocks","7","Français","Laboratoire de recherche","Créer du contenu","France","La sécurité","Papier, crayon, trousse, la base"
"2023/10/18 7:50:30 AM UTC+1","e2103333","Python","Windows","Domotique","VR/AR;Arduino;Intelligence Artficielle","PC","La redstone","Mathématiques;Physique-chimie","Aucune","Option 4","Code::Blocks;La suite anaconda (Jupyter ...)","3","EPS","PME / Startups","Créer du contenu","France","Le fonctionnel","Mon pc portable only"
"2023/10/18 7:52:50 AM UTC+1","e2304445","Java","Windows","Domotique;Frontend / Backend;Robotique","Aucune","PC","Je connais pas / J'y joue pas","Sciences de l'ingénieur (SI);Numérique et sciences informatiques","Aucune","Option 2","VSCode;La suite JetBrains (IntelliJ, PyCharm ...);Code::Blocks;NetBeans","3","Physique-Chimie","Grande entreprise, grand groupe","La cyber-sécurité","Bénin","La sécurité","Mon pc portable only"
"2023/10/18 7:53:59 AM UTC+1","e2304404","C","Windows","Robotique","Aucune","PC;Téléphone;Voiture ","Je connais pas / J'y joue pas","Mathématiques;Physique-chimie","Aucune","Option 1","Code::Blocks","6","Mathématiques","Grande entreprise, grand groupe","La cyber-sécurité","Cameroun","Le fonctionnel","Mon pc portable only"
"2023/10/18 8:04:45 AM UTC+1","e2302875","C","Windows","UX/UI","Aucune","PC;Console rétro","Construire des choses","Mathématiques;Physique-chimie","Aucune","Option 2","VSCode;Code::Blocks","7","Histoire - Géographie","Grande entreprise, grand groupe","Manager","France","L’esthétique","Mon pc portable only"
"2023/10/18 8:05:00 AM UTC+1","e2302896","Python","Mac OS","Domotique","Aucune","Non","Je connais pas / J'y joue pas","Mathématiques;Physique-chimie","BDE","Option 3","Code::Blocks","8","Physique-Chimie","Grande entreprise, grand groupe","Créer du contenu","France","Le fonctionnel","Papier, crayon, trousse, la base"
"2023/10/18 8:05:06 AM UTC+1","e2102672","Python","Windows","Frontend / Backend","Arduino","Non","Construire des choses","Mathématiques;Numérique et sciences informatiques","Aucune","Option 1","Code::Blocks;NetBeans;La suite anaconda (Jupyter ...)","8","Mathématiques","Grande entreprise, grand groupe","Manager","France","L’esthétique","Mon pc portable only"
"2023/10/18 8:06:34 AM UTC+1","e2303255","C","Windows","UX/UI","Aucune","Non","Construire des choses","Mathématiques;Physique-chimie","MAO","Option 4","Code::Blocks","7","Mathématiques","Laboratoire de recherche","Créer du contenu","France","Le fonctionnel","Papier, crayon, trousse, la base"
"2023/10/18 8:06:57 AM UTC+1","e2304479","C","Windows","Domotique;Robotique","Aucune","PC;Téléphone","Je connais pas / J'y joue pas","Mathématiques;Physique-chimie","Aucune","Option 4","Code::Blocks","7","Physique-Chimie","Grande entreprise, grand groupe","Manager","Cameroun","Le fonctionnel","Mon pc portable only"
